Match,Category.category,Category.subssubgroup,Aantal,Voorbeeld_product_titel,Voorbeeld_product_beschrijving,Voorbeeld_product_link
,baby,Autostoeltjes en Accessoires,6021,Slimme afstandsbediening tafellamp met dimbaar touchscreen - RGB-kleurverandering - werkt op batterijen .,"Nachtlampje met Bewegingssensor en Kleurverandering Waarom dit nachtlampje met bewegingssensor en kleurverandering kopen? <p>Dit nachtlampje is de perfecte toevoeging aan elke kamer en biedt zowel functionaliteit als sfeerverlichting. Met de ingebouwde PIR-bewegingssensor wordt efficiënte verlichting gegarandeerd, waardoor het automatisch inschakelt wanneer er beweging wordt gedetecteerd in het donker en weer uitgaat na 90 seconden geen beweging. Daarnaast biedt het lampje 8 verschillende kleuren en 3 modi, waardoor je altijd de juiste sfeer kunt creëren.</p> Voordelen van dit nachtlampje: <ul> <li>Automatische inschakeling bij bewegingsdetectie in het donker</li> <li>Keuze uit 8 kleuren en 3 modi voor de perfecte verlichting</li> <li>Dimbare functie voor aanpassing van de helderheid</li> <li>Geheugenfunctie voor het onthouden van de laatste instellingen</li> <li>Gemaakt van hoogwaardige materialen voor duurzaamheid</li> <li>Handig handvat voor draagbaarheid en gebruik zowel binnen als buiten</li> <li>Ideaal cadeau voor verschillende gelegenheden</li> </ul> <p>Met zijn hoogwaardige materialen, dimbare functie en geheugenfunctie is dit nachtlampje een must-have voor iedereen die op zoek is naar zowel praktische als sfeervolle verlichting. Of je nu 's nachts voedt of een gezellige sfeer wilt creëren, dit nachtlampje biedt de perfecte oplossing.</p> <h3>Productspecificaties:</h3> <ul> <li>Ingebouwde PIR-bewegingssensor</li> <li>8 kleuren en 3 modi</li> <li>Dimbare functie</li> <li>Geheugenfunctie</li> <li>Materiaal: polyethyleen lampenkap, siliconen handvat, houtnerfbasis</li> <li>Gebruik: binnen en buiten</li> </ul> <p>Geef je kamer een sfeervolle en praktische touch met dit nachtlampje met bewegingssensor en kleurverandering!</p> Meer productgegevens bekijken",https://www.bol.com/nl/nl/p/slimme-afstandsbediening-tafellamp-met-dimbaar-touchscreen-rgb-kleurverandering-werkt-op-batterijen/9300000222906419/
,baby,Baby Badartikelen,6100,Surf Poncho Changing Aid - Quick-Drying Microfibre Bathrobe for Women Men and Children - 90 x 110 cm - Dark Blue,"Upgrade je strandervaring met deze comfortabele en handige strandponcho! Voordelen: <ul> <li>Hoge kwaliteit: Deze badhanddoek bestaat uit 85% polyester vezel en 15% nylon, wat zorgt voor een zachte en warme ervaring. Daarnaast is de poncho makkelijk te wassen en zal niet gaan pillen.</li> <li>Handig hulpmiddel: De strandponcho kan dienen als een draagbare kleedkamer, waardoor je privacy beschermd blijft.</li> <li>Snel drogend: Gemaakt van microvezel, absorbeert deze poncho snel vocht van je lichaam. Hierdoor droogt de poncho ook snel, wat je warm houdt en verkoudheden voorkomt.</li> <li>Maat: Met zijn afmetingen van 90 x 110 cm is de poncho geschikt voor mannen, vrouwen en kinderen.</li> <li>Veelzijdig gebruik: Deze comfortabele strandponcho is perfect voor gebruik op het strand, bij het zwembad, tijdens het sporten, festivals, kamperen, in de sauna, op reis en kan zelfs dienen als badjas thuis.</li> </ul> <p>Upgrade your beach experience with this convenient and high-quality beach poncho. Made of a soft and warm polyester and nylon blend, this poncho is easy to wash and will not pill over time. Use it as a mobile dressing room to protect your privacy while changing. The microfiber material is highly absorbent and dries quickly, keeping you warm and preventing colds. Measuring 90 x 110 cm, this poncho is suitable for men, women, and children. Perfect for the beach, pool, sports, festivals, camping, sauna, travel, or just lounging at home.</p> <h3>Productspecificaties:</h3> <ul> <li>Materiaal: 85% polyester vezel, 15% nylon</li> <li>Afmetingen: 90 x 110 cm</li> <li>Geschikt voor: mannen, vrouwen, kinderen</li> <li>Toepassingen: strand, zwembad, sport, festival, camping, sauna, reizen, thuisgebruik</li> </ul>",https://www.bol.com/nl/nl/p/surf-poncho-changing-aid-quick-drying-microfibre-bathrobe-for-women-men-and-children-90-x-110-cm-dark-blue/9300000223381780/
,baby,Baby Haar- Bad en Douche,2257,"Zwitsal Haargel - Goedemorgen - huidvriendelijke pH en dermatologisch getest, voor de gevoelige babyhuid - 6 x 100 ml","<p><strong>Zwitsal Goedemorgen Haargel met huidvriendelijke pH, voor fris en net babyhaar in een handomdraai, de ideale verzorging voor de drukke ochtendspits.</strong></p> <p>• Zwitsal Goedemorgen Haargel voor fris en net babyhaar<br />• Brengt eigenwijze babyhaartjes in een handomdraai in model<br />• Zwitsal Goedemorgen Haargel is mild en makkelijk uitkambaar<br />• Voor de gevoelige babyhuid en fijne babyhaartjes<br />• Deze haargel bevat huidvriendelijke pH en is dermatologisch getest<br />• Zwitsal Goedemorgen Haargel met de heerlijke, vertrouwde geur van Zwitsal</p> <p><strong>Over Zwitsal Goedemorgen Haargel:</strong></p> <p>Zwitsal Goedemorgen Haargel voor fris en net babyhaar in een handomdraai, de ideale haarverzorging voor de drukke ochtendspits. Begin de ochtend met je kleintje fris en fruitig met Zwitsal Goedemorgen Haargel. Een milde en zachte gel die de haartjes in model brengt en van de juiste verzorging voorziet. De vertrouwde geur van Zwitsal in het product zorgt ervoor dat de haartjes van je kleintje lekker vertrouwd ruiken. Met huidvriendelijke pH, mild voor de fijne babyhaartjes en dermatologisch getest voor de gevoelige babyhuid. De gel is geschikt voor dagelijks gebruik, waardoor het een heerlijk ritueel wordt om de dag van je kleintje te beginnen met een vertrouwd product van Zwitsal. Gebruik daarbij ook Zwitsal Goedemorgen Vochtige Washandjes, om je kindje 's ochtends snel en makkelijk op te frissen.</p> <p><strong>Hoe te gebruiken:</strong></p> <p>Gebruik de haargel om het haar perfect in model te krijgen: netjes gekamd, een leuke kuif of stoere stekeltjes. Ook al heeft jouw baby nog niet veel haar, je kunt het nog steeds goed in model brengen met de Zwitsal gel. De haargel is gemakkelijk uitkambaar. Het is dus niet nodig om de haartjes achteraf te wassen.</p> <p><strong>Over Zwitsal:</strong></p> <p>Niets is zo heerlijk zacht als de huid van jouw baby. En net als jij willen wij dat zo houden. Daarom zorgen wij er al bijna 100 jaar voor dat onze babyverzorgingsproducten passen bij de speciale eigenschappen van het babyhuidje. We vinden het belangrijk dat onze producten mild, veilig en zacht zijn voor de huid van je baby. Daarom besteden wij veel aandacht aan de kwaliteit van onze producten. Om de kwaliteit en mildheid van onze producten te garanderen, testen we onze producten allemaal dermatologisch. Bovendien zijn onze producten mild en pH-huidvriendelijk. Ook willen we toe naar een circulaire economie, zodat zoveel mogelijk plastic verpakkingen hergebruikt of gerecycled kunnen worden. Daarbij gebruiken we waar mogelijk geen plastic. Als er nog geen kwalitatief goed alternatief beschikbaar is, gebruiken we minder plastic of beter plastic.</p>",https://www.bol.com/nl/nl/p/zwitsal-goedemorgen-baby-haargel-6-x-100-ml-voordeelverpakking/9200000081016341/
Kids & familie ,baby,Baby Overige,8827,Trixie Muziekmobiel | Hart - Bliss Petrol,Muziekmobiel van Trixie in de collectie Bliss Petrol. De muziekdoos laat je kindje zachtjes inslapen op de deuntjes van 'Baby mine' van de disneyfilm Dumbo. Wie wil nu niet dromen met een slaapliedje van Disney?,https://www.bol.com/nl/nl/p/trixie-muziekmobiel-hart-muziekmobielen-bliss-petrol/9300000070932712/
,baby,Baby Vaste Voeding,176,Ella's kitchen Yoghurt Griekse Stijl 6+ m Aardbei 90 gr - 6x 90 gr - Voordeelverpakking,"Ella's Kitchen Aardbei Yoghurt Griekse stijl 6+ maanden (90g) <p>Een heerlijk tussendoortje boordevol aardbeien, yoghurt Griekse stijl, bananen + appels.</p> <ul> <li>100% biologisch</li> <li>Geen toegevoegde suiker (bevat alleen van nature aanwezige suikers)</li> <li>Voor kindjes vanaf 6 maanden</li> <li>Ideaal voor thuis én onderweg</li> </ul> <p>Ella’s Kitchen maakt 100% biologische voeding waar baby’s en peuters dol op zijn. Van fruithapjes tot maaltijden en tussendoortjes, met spannende recepturen die de smaakpapillen van je kleintje laten tinkelen. Ella’s Kitchen is opgericht door Paul, de vader van Ella. Hij wilde kleintjes de mogelijkheid geven om betere voeding te eten én er achter te komen dat gezond eten leuk, lekker + cool kan zijn!</p>",https://www.bol.com/nl/nl/p/6x-ella-s-kitchen-yoghurt-griekse-stijl-6-m-aardbei-90-gr/9300000005877632/
Kids & familie ,baby,Babyfoons en Accessoires,817,B-Care Moon Wifi Connected - Babyfoon Met Wifi En App - Babyfoon Met Camera - 5.0 Inch HD Baby Monitor - Uitbreidbaar Tot 2 Camera's,"<p>Wil je altijd verbonden blijven met je kleintje, waar je ook bent? Maak kennis met een unieke combinatie van <strong>veilige privéverbinding </strong>voor thuis en een <strong>app </strong>voor onderweg. De B-Care Moon Wifi Connected is een gloednieuwe toevoeging aan ons assortiment en biedt privacy en gebruiksgemak.</p> <p>Geniet van haarscherpe <strong>HD-beeldkwaliteit</strong> met <strong>infrarood nachtzicht</strong>, luister naar rustgevende <strong>slaapliedjes </strong>en<strong> white noise </strong>geluiden en houd de <strong>temperatuur en vochtigheid</strong> in de gaten. Door de op afstand draaibare camera met zoomfunctie heb je altijd goed zicht op je kindje. Dankzij de functies zoals <strong>terugspreekfunctie</strong>, <strong>geluids- en bewegingsdetectie</strong> en een <strong>ECO-modus</strong>, is deze babyfoon niet alleen praktisch, maar ook veelzijdig. De babyfoon met camera is ontworpen met de hoogste veiligheidsnormen in gedachten, zodat de straling minimaal is en je baby veilig blijft.</p> <p><strong>Babyfoon met wifi en app</strong><br />Met de B-Care Moon Wifi Connected heb je de keuze uit twee verbindingsopties: een privéverbinding rechtstreeks met de 5 inch ouderunit of via een beveiligde app op je smartphone of tablet. Hierdoor blijf je altijd verbonden met je kleintje, waar je ook bent, terwijl je gegevens veilig en beschermd blijven. Deze veelzijdigheid maakt het eenvoudig om de babyfoon aan te passen aan jouw behoeften, of je nu thuis bent of onderweg.</p> <p>De B-Care Moon Wifi Connected is de perfecte combinatie van innovatie, veiligheid en gebruiksgemak. De babyfoon biedt maximale flexibiliteit en zekerheid met een uitstekende beeld- en geluidskwaliteit. Of je nu in de tuin zit, op kantoor bent of zelfs aan het reizen, met de gratis app heb je altijd helder en veilig overzicht. Met gebruik van een SD-kaart (128 GB) of cloud opslag in de app heb je de mogelijkheid opnames en foto’s op te slaan. Alle functies die beschikbaar zijn op de monitor zijn ook beschikbaar op de app, hierdoor ben je verzekerd van gemak, veiligheid en comfort.</p> <p><strong>Uitbreidbaar tot 2 camera's</strong><br />Deze babyfoon is gemakkelijk uitbreidbaar tot wel 2 camera’s, ideaal voor het monitoren van meerdere ruimtes of kinderen. Wanneer je meerdere camera’s koppelt kun je daarmee alle ruimtes vanaf één monitor of de app in de gaten houden. Bestel een set met meerdere camera’s direct vanaf het begin of bestel de extra camera’s op een later moment.</p> <p>De beelden kunnen apart of in splitscreen worden weergegeven. Hierbij worden de beelden naast elkaar weergegeven, het geluid is hoorbaar van de gekozen camera. Dankzij de smart VOX-functie kan geluid worden gedetecteerd van meerdere camera’s tegelijk, het beeld van de camera waar geluid vandaan komt springt dan automatisch aan.</p> <h3>Kenmerken B-Care Moon Wifi Connected 5 inch</h3> <ul> <li>Uitbreidbaar tot 2 camera’s</li> <li>Infrarood nachtzicht</li> <li>Slaapliedjes en white noise</li> <li>Groot 5.0 inch beeldscherm</li> <li>Kristalhelder HD-beeld en duidelijke geluidsoverdracht</li> <li>Geluids- en bewegingsdetectie</li> <li>Terugspreekfunctie</li> <li>Temperatuur- en vochtigheidsmeter</li> <li>355° op afstand bedienbare camera op monitor en app</li> <li>De energiebesparende ECO modus/smart VOX-functie</li> <li>Splitscreen</li> <li>Plug & play</li> <li>4x digitale zoomfunctie</li> <li>Voedingsalarm</li> <li>Directe veilige draadloze 2.4 GHZ FHSS verbinding tussen camera en monitor (zonder gebruik app)</li> <li>Gratis beveiligde app</li> <li>Foto- en video-opname</li> <li>Gebruiksvriendelijk</li> <li>Alle functies bedienen op monitor en in de app</li> <li>Met SD-kaart (128 GB) alles opslaan op de babyfoon (niet inbegrepen)</li> <li>Mogelijkheid cloudopslag app</li> <li>Nederlands display en app</li> <li>Instelbaar volume en helderheid</li> <li>Bereik tot 200m buiten (open ruimte) en 30m binnen (zonder gebruik app)</li> <li>Weergave batterijstatus monitor: tot 10 uur continu, tot 13 uur in ECO-modus</li> </ul> <p><strong>Waarom een babyfoon met camera?<br /></strong>Gaat het om een klein hoestje of geluidje, een huilbui of zit of staat je kindje overstuur in zijn bedje? Met een babyfoon met camera kun je je kindje altijd op afstand in de gaten houden en bepalen of het nodig is om even naar je kindje te gaan kijken. Ook is het prettig te controleren of je kindje rustig op zijn rug ligt, niet op zijn buik is gedraaid of onder de dekens terecht is gekomen. Zo hoef je niet bij ieder geluidje naar de babykamer te rennen om te zien wat er aan de hand is. Daarnaast is het natuurlijk gewoon leuk om je kindje te volgen als je niet in de babykamer bent. Een babyfoon met camera maakt dit allemaal mogelijk.</p> <p><strong>Waarom een babyfoon met wifi?<br /></strong>Voor ouders die veel onderweg zijn of meerdere ruimtes willen monitoren, is een babyfoon met wifi en app een uitstekende keuze. Je kunt meerdere camera’s koppelen en opnames en foto’s veilig opslaan via een SD-kaart of in de cloud. Met een babyfoon met wifi ben je altijd verbonden, dit biedt flexibiliteit en zekerheid.</p> <p><strong>Waarom een babyfoon van B-Care aanschaffen?<br /></strong>Wij zetten ons in om ouders zoals jij te ondersteunen in hun prachtige reis van het ouderschap. We leveren graag een bijdrage aan het gemak en geluk van deze bijzondere fase. Want wij geloven dat als het om comfort, veiligheid en welzijn van je kind gaat, geen enkel detail onbelangrijk is. Onze babyfoons zijn niet zomaar gadgets; ze zijn ontworpen met liefde en zorg om ouders gemoedsrust te geven en tegelijkertijd passen ze in de moderne levensstijl van nu. Elke ouder verdient het om met vertrouwen en gemak van het ouderschap te genieten. Daarom zijn de babyfoons van B-Care compleet, voorzien van de modernste technieken en heel gebruiksvriendelijk. B-Care Baby biedt een persoonlijke klantenservice en staat altijd klaar om te helpen, neem gerust contact op voor vragen of advies. Ontdek hoe B-Care Baby het verschil kan maken in jouw ouderervaring!</p>",https://www.bol.com/nl/nl/p/b-care-moon-wifi-connected-babyfoon-met-wifi-en-app-babyfoon-met-camera-5-0-inch-hd-baby-monitor-uitbreidbaar-tot-2-camera-s/9300000188123989/
,baby,Babykamer Aankleding,9141,Timboo waskussenhoes (67 x 44 cm) - Moon Bleu,"Waskussenhoes (67 x 44 cm)<br /><br />De waskussenhoes uit bamboe-badstof die 60% meer absorbeert dan katoen is de ideale ondergrond voor de verzorging van uw baby. De hoes is afgewerkt met een elastiek achteraan en laat zich daardoor makkelijk over het waskussen spannen. De hoeken van het waskussen worden volledig door de hoes omvat.<br /><br />Afmetingen: 67 x 44 cm – voor waskussen van max. 10 cm dik<br />Samenstelling badstof: 90% bamboe - 10% polyester<br />Oekotex Label 100<br />Wasadvies: maximaal op 40°C op fijnwasprogramma, om krimpen tegen te gaan. Drogen in de droogtrommel is toegestaan, maar enkel op lage temperatuur.<br />Bamboe is erg goed in het opnemen en afvoeren van vocht. Wasverzachters verstoppen de poriën van de bamboe, waardoor de absorptiegraad vermindert.<br />Strijken op lage temperatuur is geen probleem.",https://www.bol.com/nl/nl/p/timboo-waskussenhoes-moon-bleu/9300000044699970/
 ,baby,Babykamer Beddengoed,7501,Trixie Muslinnendoek | 110x110cm - Bliss Coral,"Trixie Muslinnendoek | 110x110cm - Bliss Coral <br />De Trixie Muslin doek is een must-have voor elke ouder. Deze zachte en ademende doek van 110x110cm is perfect voor het inbakeren van je baby, als spuugdoek, als lichtgewicht deken of zelfs als zonnescherm voor de kinderwagen. De Bliss Coral print voegt een vrolijke en kleurrijke touch toe aan de babyuitzet. Gemaakt van 100% katoen, is deze doek niet alleen praktisch maar ook heerlijk zacht voor de gevoelige huid van je kleintje. Bovendien wordt de doek na elke wasbeurt nog zachter. Dankzij het formaat van 110x110cm is de doek veelzijdig in gebruik en kan hij overal mee naartoe worden genomen. Een onmisbaar item voor elke ouder! <br /> <br /> Extra informatie <br /> <ul> <li>Gemaakt van 100% katoen</li> <li>Zacht en ademend</li> <li>Veelzijdig in gebruik</li> <li>Wasbaar in de machine</li> </ul>",https://www.bol.com/nl/nl/p/trixie-tetra-doek-110x110cm-bliss-coral/9300000155645537/
,baby,Babykamer Meubels,2525,X Adventure Co Sleeper / Baby Bed tot 9 kg – Wieg In Hoogte Verstelbaar & Met Wieltjes - Beige,"<p>Wil je je baby ’s nachts dichtbij houden zonder in hetzelfde bed te slapen? De <strong>X Adventure Co-Sleeper </strong>biedt de perfecte balans tussen geborgenheid en veiligheid. Dankzij de eenvoudige bevestiging aan het ouderlijk bed blijft je baby altijd binnen handbereik, ideaal voor nachtelijke voedingen en geruststelling. Deze stijlvolle en praktische co-sleeper zorgt ervoor dat jij en je baby ontspannen en veilig kunnen slapen.</p> <h3><strong>Dichtbij je baby, meer rust voor jullie beiden</strong></h3> <p>Met de <strong>X Adventure Co-Sleeper </strong>slaapt je baby op zijn eigen, veilige plek maar toch vlak naast jou. Dit maakt het makkelijker om je baby ’s nachts te troosten en te voeden zonder dat je uit bed hoeft. Zo bevorder je de hechting en krijg je als ouder ook meer nachtrust.</p> <h3><strong>Verstelbare hoogte voor perfecte aansluiting</strong></h3> <p>De co-sleeper is eenvoudig in hoogte verstelbaar, zodat je hem naadloos kunt laten aansluiten op je eigen bed. Zo ligt je baby altijd op een comfortabele hoogte en heb je hem of haar snel bij de hand.</p> <h3><strong>Veilige en stevige bevestiging</strong></h3> <p>Met de meegeleverde bevestigingsriemen zet je de co-sleeper stevig vast aan je bed. Dit voorkomt dat de wieg verschuift en zorgt ervoor dat je baby veilig en stabiel ligt.</p> <h3><strong>Ademend en comfortabel</strong></h3> <p>De zijkanten van de co-sleeper zijn voorzien van ademend mesh-materiaal, wat zorgt voor optimale luchtcirculatie en een goed zicht op je baby. Het zachte matras biedt extra comfort, zodat je kindje heerlijk kan slapen.</p> <h3><strong>Praktisch en gebruiksvriendelijk</strong></h3> <ul> <li><strong>Verstelbare hoogte</strong>: Past op vrijwel elk bed.</li> <li><strong>Ademend mesh-zijkanten</strong>: Zorgt voor ventilatie en een goed zicht op je baby.</li> <li><strong>Veilige bevestiging</strong>: Makkelijk en stevig vast te maken aan het ouderlijk bed.</li> <li><strong>Compact en stijlvol ontwerp</strong>: Past perfect in iedere slaapkamer.</li> </ul> <h3><strong>Waarom kiezen voor de X Adventure Co-Sleeper ?</strong></h3> <p>Met de <strong>X Adventure Co-Sleeper </strong>creëer je een veilige en knusse slaapplek voor je baby, terwijl jij als ouder ook geniet van extra gemak en rust. Deze co-sleeper is ideaal voor ouders die hun baby dichtbij willen houden zonder in hetzelfde bed te slapen.</p>",https://www.bol.com/nl/nl/p/xadventure-co-sleeper-beige/9300000177689331/
,baby,Babykamer Slapen,8665,Briljant Baby Uni - Slaapzak - 0-6 maanden / 70 cm - Taupe,Dit Briljant Baby Uni slaapzak is gemaakt van katoen. Deze slaapzak is geschikt voor baby's van 0 tot 6 maanden oud. De slaapzak is leverbaar in de kleur taupe,https://www.bol.com/nl/nl/p/briljant-baby-uni-slaapzak-0-6-maanden-70-cm-taupe/9200000058507351/
